"abkuerzung","bezeichnung","bis","fk_zaehler","id1","richtung_in","richtung_out","von","objectid","geometry"
"VZS_LANN","Langstrasse (Unterführung Nord)","20170711000000","Y2G12102807","55","Helvetiaplatz","Limmatplatz","20130627000000","35","POINT (2682278 1248324.9)"
"FZS_KATZ","Katzenbach","20151001000000","U15G3104442","34","Affoltern","Seebach","20150331000000","36","POINT (2681402 1253279.9)"
"FZS_QUAN","Quaibrücke Nord (Limmatseite)","20151124000000","U15G3063868","26","Bellevue","Bürkliplatz","20130823000000","37","POINT (2683403.2 1246821.1)"
"VZS_LANS","Langstrasse (Unterführung Süd)","20180615000000","Y2H16039396","2962","Helvetiaplatz","Limmatplatz","20180424000000","38","POINT (2682360 1248448.2)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20160930000000","U15G3063869","390","Limmat","Gleisanlagen","20160330000000","39","POINT (2682171 1249123.9)"
"VZS_SCHE","Scheuchzerstrasse","","Y2H19111477","2993","Innenstadt","Irchel","20200110000000","40","POINT (2683573.2 1248544.9)"
"FZS_HARD","Hardeggsteg","20140320000000","U15G2092649","18","Kloster-Fahr-Weg","Hardturmstrasse","20131128000000","41","POINT (2680439 1249929.9)"
"FZS_ALTO","Altstetterstrasse Ost","20150331000000","U15G3063866","23","Bhf. Altstetten","Lindenplatz","20131128000000","42","POINT (2679190 1249435.9)"
"FZS_ALTW","Altstetterstrasse West","20150331000000","U15G3104445","43","Bhf. Altstetten","Lindenplatz","20131128000000","43","POINT (2679174 1249437.9)"
"FZS_CASS","Cassiopeiasteg","20151007000000","U15G3104443","36","Stadtgrenze","Bellevue","20150430000000","44","POINT (2683020.2 1244136.2)"
"FZS_CHOR","Chorherrenweg","20151001000000","U15G4025180","50","Limmat","Meierhofplatz","20150331000000","45","POINT (2680002 1250595.9)"
"FZS_HARD","Hardeggsteg","20150331000000","U15G4025180","51","Kloster-Fahr-Weg","Hardturmstrasse","20140320000000","46","POINT (2680439 1249929.9)"
