date,count
2019-01-26 22,6.32
2019-01-26 23,7.19
2019-01-27 00,6.52
2019-01-27 01,4.95
2019-01-27 02,2.71
2019-01-27 03,2.44
2019-01-27 04,1.81
2019-01-27 05,1.35
2019-01-27 06,1.35
2019-01-27 07,2.16
2019-01-27 08,6.44
2019-01-27 09,10.66
2019-01-27 10,18.35
2019-01-27 11,24.25
2019-01-27 12,26.07
2019-01-27 13,22.13
2019-01-27 14,15.18
2019-01-27 15,14.29
2019-01-27 16,16.85
2019-01-27 17,17.69
2019-01-27 18,14.13
2019-01-27 19,9.91
2019-01-27 20,7.29
2019-01-27 21,0.00
2019-01-27 22,0.00
2019-01-27 23,12.61
2019-01-28 00,2.96
2019-01-28 01,1.82
2019-01-28 02,0.91
2019-01-28 03,0.67
2019-01-28 04,1.55
2019-01-28 05,2.51
2019-01-28 06,8.64
2019-01-28 07,27.31
2019-01-28 08,55.78
2019-01-28 09,48.29
2019-01-28 10,22.32
2019-01-28 11,17.79
2019-01-28 12,21.87
2019-01-28 13,23.52
2019-01-28 14,18.21
2019-01-28 15,19.72
2019-01-28 16,25.88
2019-01-28 17,43.14
2019-01-28 18,48.14
2019-01-28 19,33.01
2019-01-28 20,21.85
2019-01-28 21,16.18
2019-01-28 22,10.28
2019-01-28 23,5.61
2019-01-29 00,3.29
2019-01-29 01,1.86
2019-01-29 02,0.85
2019-01-29 03,1.09
2019-01-29 04,1.55
2019-01-29 05,2.12
2019-01-29 06,9.40
2019-01-29 07,29.89
2019-01-29 08,60.45
2019-01-29 09,50.79
2019-01-29 10,23.72
2019-01-29 11,18.79
2019-01-29 12,21.80
2019-01-29 13,22.75
2019-01-29 14,18.79
2019-01-29 15,19.66
2019-01-29 16,25.79
2019-01-29 17,45.08
2019-01-29 18,43.56
2019-01-29 19,21.44
2019-01-29 20,12.82
2019-01-29 21,11.00
2019-01-29 22,8.78
2019-01-29 23,4.41
2019-01-30 00,2.40
2019-01-30 01,2.11
2019-01-30 02,1.00
2019-01-30 03,0.95
2019-01-30 04,1.40
2019-01-30 05,2.46
2019-01-30 06,8.36
2019-01-30 07,25.31
2019-01-30 08,54.29
2019-01-30 09,45.95
2019-01-30 10,21.79
2019-01-30 11,16.69
2019-01-30 12,20.33
2019-01-30 13,22.13
2019-01-30 14,17.88
2019-01-30 15,20.45
2019-01-30 16,26.29
2019-01-30 17,41.04
2019-01-30 18,43.51
2019-01-30 19,32.72
2019-01-30 20,20.76
2019-01-30 21,18.13
2019-01-30 22,12.07
2019-01-30 23,7.89
2019-01-31 00,3.48
2019-01-31 01,2.73
2019-01-31 02,1.35
