date,count
2020-01-26 07,3.38
2020-01-26 08,6.31
2020-01-26 09,12.73
2020-01-26 10,19.31
2020-01-26 11,23.62
2020-01-26 12,27.79
2020-01-26 13,30.12
2020-01-26 14,26.71
2020-01-26 15,18.77
2020-01-26 16,14.98
2020-01-26 17,12.75
2020-01-26 18,12.14
2020-01-26 19,11.75
2020-01-26 20,10.18
2020-01-26 21,8.58
2020-01-26 22,7.29
2020-01-26 23,5.39
2020-01-27 00,3.29
2020-01-27 01,2.44
2020-01-27 02,1.79
2020-01-27 03,1.31
2020-01-27 04,1.73
2020-01-27 05,2.9
2020-01-27 06,9.5
2020-01-27 07,27.65
2020-01-27 08,60.26
2020-01-27 09,51.07
2020-01-27 10,22.88
2020-01-27 11,18.17
2020-01-27 12,21.52
2020-01-27 13,22.68
2020-01-27 14,13.14
2020-01-27 15,8.86
2020-01-27 16,14.27
2020-01-27 17,35.77
2020-01-27 18,45.79
2020-01-27 19,31.92
2020-01-27 20,22.63
2020-01-27 21,16.52
2020-01-27 22,10.68
2020-01-27 23,6.02
2020-01-28 00,3.69
2020-01-28 01,1.99
2020-01-28 02,1.31
2020-01-28 03,0.77
2020-01-28 04,1.64
2020-01-28 05,2.55
2020-01-28 06,11.24
2020-01-28 07,30.38
2020-01-28 08,63.6
2020-01-28 09,52.92
2020-01-28 10,26.27
2020-01-28 11,19.17
2020-01-28 12,21.19
2020-01-28 13,23.11
2020-01-28 14,19.58
2020-01-28 15,19.79
2020-01-28 16,26.99
2020-01-28 17,44.68
2020-01-28 18,50.31
2020-01-28 19,33.9
2020-01-28 20,23.49
2020-01-28 21,18.08
2020-01-28 22,12.85
2020-01-28 23,7.12
2020-01-29 00,3.96
2020-01-29 01,2.14
2020-01-29 02,1.63
2020-01-29 03,0.65
2020-01-29 04,1.13
2020-01-29 05,2.64
2020-01-29 06,10.21
2020-01-29 07,30.74
2020-01-29 08,62.55
2020-01-29 09,51.08
2020-01-29 10,24.8
2020-01-29 11,20.42
2020-01-29 12,24.69
