id,name,village,lon,lat
90,Harrington Square 1,Camden Town,-0.139174,51.533019
91,Walnut Tree Walk,Vauxhall,-0.111014,51.493686
92,Borough Road,Elephant & Castle,-0.10044,51.498898
93,Cloudesley Road,Angel,-0.109025,51.534408
94,Bricklayers Arms,Borough,-0.085814,51.495061
95,Aldersgate Street,Barbican,-0.09734,51.520841
96,Falkirk Street,Hoxton,-0.078505,51.53095
97,Gloucester Road (North),Kensington,-0.183834,51.497924
98,Hampstead Road,Euston,-0.138231,51.525542
99,Old Quebec Street,Marylebone,-0.158264,51.514577
100,Albert Embankment,Vauxhall,-0.122806,51.490435
101,Queen Street 1,Bank,-0.09294,51.511553
102,Jewry Street,Aldgate,-0.076793,51.513406
103,Vicarage Gate,Kensington,-0.192538,51.504723
104,Crosswall,Tower,-0.077121,51.511594
105,Westbourne Grove,Bayswater,-0.19024,51.515529
106,Woodstock Street,Mayfair,-0.147301,51.514105
107,Finsbury Leisure Centre,St. Luke's,-0.096317,51.526008
108,Abbey Orchard Street,Westminster,-0.132102,51.498125
109,Soho Square,Soho,-0.132328,51.515631
110,Wellington Road,St. John's Wood,-0.172528,51.533043
111,Park Lane,Hyde Park,-0.157275,51.510017
112,Stonecutter Street,Holborn,-0.10527,51.515809
113,Gloucester Road (Central),South Kensington,-0.183289,51.496462
114,Park Road (Baker Street),The Regent's Park,-0.158963,51.524517
115,Braham Street,Aldgate,-0.073537,51.514233
116,Little Argyll Street,West End,-0.141423,51.514499
117,Lollard Street,Vauxhall,-0.114934,51.49288
118,Rochester Row,Westminster,-0.135478,51.495827
119,Bath Street,St. Luke's,-0.090847,51.525893
120,The Guildhall,Guildhall,-0.09308,51.515735
121,Baker Street,Marylebone,-0.156166,51.518913
122,Norton Folgate,Liverpool Street,-0.078869,51.521113
123,St. John Street,Finsbury,-0.104724,51.52836
124,Eaton Square,Belgravia,-0.150905,51.496544
125,Borough High Street,The Borough,-0.094524,51.500694
126,Museum of London,Barbican,-0.096496,51.517821
127,Wood Street,Guildhall,-0.093885,51.517008
128,Emperor's Gate,South Kensington,-0.185296,51.495362
129,Golden Square,Soho,-0.137043,51.511897
130,Tower Gardens,Tower,-0.075459,51.509506
131,Eversholt Street,Camden Town,-0.136792,51.533005
132,Bethnal Green Road,Shoreditch,-0.074754,51.523648
133,Derry Street,Kensington,-0.191462,51.501364
