date,avg(count)
2020-01-17T21,83.8
2020-01-17T22,25.8
2020-01-17T23,11.025
2020-01-18T00,13.575
2020-01-18T01,24
2020-01-18T02,19
2020-01-18T03,19.15
2020-01-18T04,5.8
2020-01-18T05,4.625
2020-01-18T06,5.775
2020-01-18T07,16.325
2020-01-18T08,32.7
2020-01-18T09,34.425
2020-01-18T10,17.975
2020-01-18T11,19.675
2020-01-18T12,35.4
2020-01-18T13,17.075
2020-01-18T14,14.6
2020-01-18T15,28.425
2020-01-18T16,28.825
2020-01-18T17,25.95
2020-01-18T18,23.925
2020-01-18T19,24.6
2020-01-18T20,31.875
2020-01-18T21,51.8
2020-01-18T22,23.45
2020-01-18T23,9.45
2020-01-19T00,12.05
2020-01-19T01,18.425
2020-01-19T02,21.325
2020-01-19T03,21.025
2020-01-19T04,9.775
2020-01-19T05,3.775
2020-01-19T06,4.65
2020-01-19T07,5.575
2020-01-19T08,15.7
2020-01-19T09,25.675
2020-01-19T10,27.35
2020-01-19T11,28.675
2020-01-19T12,22.5
2020-01-19T13,20.9
2020-01-19T14,17.475
2020-01-19T15,20.4
2020-01-19T16,23.3
2020-01-19T17,16.925
2020-01-19T18,20.125
2020-01-19T19,22.85
2020-01-19T20,37.075
2020-01-19T21,25.125
2020-01-19T22,12.175
2020-01-19T23,13.1
2020-01-20T00,15.125
2020-01-20T01,11.25
2020-01-20T02,4.075
2020-01-20T03,2.25
2020-01-20T04,1.625
2020-01-20T05,9.425
2020-01-20T06,20.25
2020-01-20T07,88.75
2020-01-20T08,259.575
2020-01-20T09,57.625
2020-01-20T10,240.4
2020-01-20T11,37.25
2020-01-20T12,21.15
2020-01-20T13,15.35
2020-01-20T14,15.1
2020-01-20T15,14.6
2020-01-20T16,35.225
2020-01-20T17,88.45
2020-01-20T18,122.675
2020-01-20T19,40.6
2020-01-20T20,159.975
2020-01-20T21,81.1
2020-01-20T22,17.675
2020-01-20T23,22.975
2020-01-21T00,26.175
2020-01-21T01,12.675
2020-01-21T02,4.9
2020-01-21T03,2.325
2020-01-21T04,1.825
2020-01-21T05,7.225
2020-01-21T06,19.025
2020-01-21T07,83.1
2020-01-21T08,252.975
2020-01-21T09,55.5
2020-01-21T10,218.05
2020-01-21T11,33.225
2020-01-21T12,26.425
2020-01-21T13,10.65
2020-01-21T14,13.35
2020-01-21T15,14.575
2020-01-21T16,31.95
2020-01-21T17,80.45
2020-01-21T18,113.55
2020-01-21T19,47.55
2020-01-21T20,132.75
2020-01-21T21,82.6
2020-01-21T22,14.075
2020-01-21T23,17.75
2020-01-22T00,36.225
2020-01-22T01,15.275
2020-01-22T02,4.925
2020-01-22T03,4.05
2020-01-22T04,1.75
2020-01-22T05,7.2
2020-01-22T06,16.7
2020-01-22T07,74.875
2020-01-22T08,221.325
2020-01-22T09,49.625
2020-01-22T10,197.7
2020-01-22T11,30.325
2020-01-22T12,36.775
2020-01-22T13,13.725
2020-01-22T14,14.075
2020-01-22T15,16.425
2020-01-22T16,23.95
2020-01-22T17,70.475
2020-01-22T18,115.025
2020-01-22T19,41.725
2020-01-22T20,123.8
2020-01-22T21,80.525
2020-01-22T22,12
2020-01-22T23,17.175
2020-01-23T00,29.925
2020-01-23T01,20.15
2020-01-23T02,6.475
2020-01-23T03,2.7
2020-01-23T04,1.95
2020-01-23T05,6.45
2020-01-23T06,16.775
2020-01-23T07,70.275
2020-01-23T08,214.15
2020-01-23T09,51.3
2020-01-23T10,195.7
2020-01-23T11,31.3
2020-01-23T12,24.55
2020-01-23T13,13.175
2020-01-23T14,15.725
2020-01-23T15,13.825
2020-01-23T16,25.9
2020-01-23T17,75.75
2020-01-23T18,94.6
2020-01-23T19,37.075
2020-01-23T20,116.4
2020-01-23T21,67.4
2020-01-23T22,14.65
2020-01-23T23,15.125
2020-01-24T00,28.65
2020-01-24T01,21.45
2020-01-24T02,6.875
2020-01-24T03,5.425
2020-01-24T04,2.825
2020-01-24T05,8.875
2020-01-24T06,20.725
2020-01-24T07,93
2020-01-24T08,242.625
2020-01-24T09,53.375
2020-01-24T10,211.9
2020-01-24T11,30.375
2020-01-24T12,32
2020-01-24T13,19.125
2020-01-24T14,25.375
2020-01-24T15,19.825
2020-01-24T16,44.075
2020-01-24T17,73.65
2020-01-24T18,66.275
2020-01-24T19,55.125
2020-01-24T20,109.25
2020-01-24T21,84.125
2020-01-24T22,20.675
2020-01-24T23,13.075
2020-01-25T00,14.875
2020-01-25T01,21.425
2020-01-25T02,10.925
2020-01-25T03,16.7
2020-01-25T04,4.725
2020-01-25T05,4.35
2020-01-25T06,4.5
2020-01-25T07,9.425
2020-01-25T08,25.85
2020-01-25T09,19.55
2020-01-25T10,21.55
2020-01-25T11,16.275
2020-01-25T12,21.125
2020-01-25T13,13.725
2020-01-25T14,13.4
2020-01-25T15,19.975
2020-01-25T16,16.775
2020-01-25T17,15.95
2020-01-25T18,16.4
2020-01-25T19,17.975
2020-01-25T20,24.25
2020-01-25T21,42.425
2020-01-25T22,15.1
2020-01-25T23,8.225
2020-01-26T00,10.375
2020-01-26T01,10.975
2020-01-26T02,10.075
2020-01-26T03,12.45
2020-01-26T04,7.7
2020-01-26T05,3.875
2020-01-26T06,3.55
2020-01-26T07,4.65
2020-01-26T08,11.475
2020-01-26T09,20.6
2020-01-26T10,23.125
2020-01-26T11,18.55
2020-01-26T12,19.15
2020-01-26T13,15.75
2020-01-26T14,12.05
2020-01-26T15,20.925
2020-01-26T16,18.125
2020-01-26T17,14.35
2020-01-26T18,16.125
2020-01-26T19,16.35
2020-01-26T20,29.3
2020-01-26T21,22.75
2020-01-26T22,9.05
2020-01-26T23,12.8
2020-01-27T00,16.75
2020-01-27T01,8.35
2020-01-27T02,4.075
2020-01-27T03,2.875
2020-01-27T04,1.7
2020-01-27T05,5.9
2020-01-27T06,14.3
2020-01-27T07,49.65
2020-01-27T08,145.75
2020-01-27T09,50.475
2020-01-27T10,151.25
2020-01-27T11,22.95
2020-01-27T12,18.3
2020-01-27T13,12.525
2020-01-27T14,20.8
2020-01-27T15,9.9
2020-01-27T16,18.1
2020-01-27T17,64.8
2020-01-27T18,68.175
2020-01-27T19,23.975
2020-01-27T20,91.7
2020-01-27T21,50.775
2020-01-27T22,14.75
2020-01-27T23,17.15
2020-01-28T00,16.875
2020-01-28T01,9.625
2020-01-28T02,3.65
2020-01-28T03,3.525
2020-01-28T04,2.65
2020-01-28T05,6.05
2020-01-28T06,14.65
2020-01-28T07,65.95
2020-01-28T08,163.75
2020-01-28T09,40.125
2020-01-28T10,150.3
2020-01-28T11,23.2
2020-01-28T12,21.375
2020-01-28T13,12.975
2020-01-28T14,15.825
2020-01-28T15,15.25
2020-01-28T16,23.05
2020-01-28T17,65.4
2020-01-28T18,54.05
2020-01-28T19,29.45
2020-01-28T20,91.775
2020-01-28T21,54.95
2020-01-28T22,12.05
