id,value
Plaisance_6,1653
Pont-de-Flandre_0,1085
Pont-de-Flandre_1,1178
Pont-de-Flandre_2,1247
Pont-de-Flandre_3,1264
Pont-de-Flandre_4,1219
Pont-de-Flandre_5,1280
Pont-de-Flandre_6,1253
Porte-Dauphine_0,792
Porte-Dauphine_1,852
Porte-Dauphine_2,898
Porte-Dauphine_3,918
Porte-Dauphine_4,885
Porte-Dauphine_5,886
Porte-Dauphine_6,861
Porte-Saint-Denis_0,955
Porte-Saint-Denis_1,1104
Porte-Saint-Denis_2,1203
Porte-Saint-Denis_3,1225
Porte-Saint-Denis_4,1197
Porte-Saint-Denis_5,1276
Porte-Saint-Denis_6,1185
Porte-Saint-Martin_0,1138
Porte-Saint-Martin_1,1199
Porte-Saint-Martin_2,1319
Porte-Saint-Martin_3,1330
Porte-Saint-Martin_4,1295
Porte-Saint-Martin_5,1384
Porte-Saint-Martin_6,1404
Père-Lachaise_0,1160
Père-Lachaise_1,1187
Père-Lachaise_2,1156
Père-Lachaise_3,1192
Père-Lachaise_4,1178
Père-Lachaise_5,1251
Père-Lachaise_6,1282
Quinze-Vingts_0,1756
Quinze-Vingts_1,1771
Quinze-Vingts_2,1896
Quinze-Vingts_3,1950
Quinze-Vingts_4,1901
Quinze-Vingts_5,1975
Quinze-Vingts_6,1937
Rochechouart_0,886
Rochechouart_1,989
Rochechouart_2,1110
Rochechouart_3,1118
Rochechouart_4,1079
Rochechouart_5,1134
Rochechouart_6,1099
Roquette_0,1759
Roquette_1,1780
Roquette_2,1882
Roquette_3,1932
Roquette_4,1887
Roquette_5,2012
Roquette_6,2023
Saint-Ambroise_0,1441
Saint-Ambroise_1,1506
Saint-Ambroise_2,1637
Saint-Ambroise_3,1669
Saint-Ambroise_4,1610
Saint-Ambroise_5,1750
Saint-Ambroise_6,1774
Saint-Fargeau_0,767
Saint-Fargeau_1,855
Saint-Fargeau_2,782
Saint-Fargeau_3,824
Saint-Fargeau_4,775
Saint-Fargeau_5,844
Saint-Fargeau_6,833
Saint-Georges_0,692
Saint-Georges_1,813
Saint-Georges_2,933
Saint-Georges_3,945
Saint-Georges_4,917
Saint-Georges_5,931
Saint-Georges_6,837
Saint-Germain-des-Prés_0,368
Saint-Germain-des-Prés_1,477
Saint-Germain-des-Prés_2,524
Saint-Germain-des-Prés_3,523
Saint-Germain-des-Prés_4,510
Saint-Germain-des-Prés_5,537
Saint-Germain-des-Prés_6,516
Saint-Germain-l'Auxerrois_0,206
Saint-Germain-l'Auxerrois_1,187
Saint-Germain-l'Auxerrois_2,203
Saint-Germain-l'Auxerrois_3,210
Saint-Germain-l'Auxerrois_4,201
Saint-Germain-l'Auxerrois_5,207
Saint-Germain-l'Auxerrois_6,224
Saint-Gervais_0,801
Saint-Gervais_1,789
Saint-Gervais_2,823
Saint-Gervais_3,812
Saint-Gervais_4,817
Saint-Gervais_5,858
Saint-Gervais_6,907
Saint-Lambert_0,1937
Saint-Lambert_1,2183
Saint-Lambert_2,2360
Saint-Lambert_3,2374
Saint-Lambert_4,2330
Saint-Lambert_5,2376
Saint-Lambert_6,2238
Saint-Merri_0,1029
Saint-Merri_1,1061
Saint-Merri_2,1085
Saint-Merri_3,1143
Saint-Merri_4,1093
Saint-Merri_5,1146
Saint-Merri_6,1216
Saint-Thomas-d'Aquin_0,604
Saint-Thomas-d'Aquin_1,718
Saint-Thomas-d'Aquin_2,786
Saint-Thomas-d'Aquin_3,801
