station_id,station_name,description,lat,lon
Champs-Elysées,George V - Christophe Colomb,Champs-Elysées,48.8704294,2.3011638
Javel,Lucien Bossoutrot - Général Martial Vallin,Javel,48.83695605,2.274107225
Necker,Place Jacques et Thérèse Tréfouël,Necker,48.8427265,2.312565744
Gare,Place Jeanne d'Arc,Gare,48.829575,2.369126
Chaussée-d'Antin,Taitbout - La Fayette,Chaussée-d'Antin,48.87332989,2.335262597
Saint-Lambert,Dutot - Place Alleray,Saint-Lambert,48.83682609,2.30717011
Salpêtrière,Bruant - Vincent Auriol,Salpêtrière,48.83484845,2.3668265
Auteuil,Molitor - Michel-Ange,Auteuil,48.84518208,2.262112774
Mail,Cléry - Montmartre,Mail,48.867458,2.3445211
Enfants-Rouges,Place de la République - Temple,Enfants-Rouges,48.8672112,2.363546437
Bel-Air,Parc Floral du Bel Air,Bel-Air,48.83991906,2.438380235
Saint-Georges,Victor Massé - Jean-Baptiste Pigalle,Saint-Georges,48.88110437,2.336695567
Clignancourt,Francoeur - Caulaincourt,Clignancourt,48.88999444,2.342529707
Villette,Euryale Dehaynin - Loire,Villette,48.88624892,2.377459109
Saint-Lambert,Dominique Pado - Croix Nivert,Saint-Lambert,48.83656,2.28976
Sorbonne,Saint-Séverin - Saint-Michel,Sorbonne,48.85273131,2.344092764
Gros-Caillou,Bourdonnais - Tour Eiffel,Gros-Caillou,48.8608978,2.295599598
Champs-Elysées,Marceau - Président Wilson,Champs-Elysées,48.8652359,2.3002513
Javel,Colonel Pierre Avia,Javel,48.82968433,2.275342587
Roquette,Froment - Bréguet,Roquette,48.85704145,2.372894703
Odéon,Vaugirard - Monsieur le Prince,Odéon,48.84895144,2.341132946
Gros-Caillou,Octave Gréard - Tour Eiffel,Gros-Caillou,48.85650298,2.293178754
Saint-Georges,Moncey - Blanche,Saint-Georges,48.88006587,2.331081033
Porte-Saint-Martin,Cité Riverin - Château d'Eau,Porte-Saint-Martin,48.87070242,2.358739864
Folie-Méricourt,Richard Lenoir - Jean-Pierre Timbaud,Folie-Méricourt,48.86580428,2.369337075
Batignolles,Legendre - Dulong,Batignolles,48.88532517,2.316423766
Saint-Georges,Saint Georges - d'Aumale,Saint-Georges,48.8777864,2.337429821
Picpus,Montgallet - Reuilly,Picpus,48.844291,2.3896481
Plaisance,Gare Montparnasse - René Mouchotte,Plaisance,48.83920384,2.320883945
Charonne,Réunion - Avron,Charonne,48.85256675,2.403928069
Chaillot,Lauriston - Copernic,Chaillot,48.86926,2.289918
Saint-Vincent-de-Paul,Gare de l'Est - Place du 11 Novembre 1918,Saint-Vincent-de-Paul,48.876327,2.3585464
Combat,Edouard Pailleron - Simon Bolivar,Combat,48.87979886,2.374839261
Auteuil,Eglise d'Auteuil,Auteuil,48.84749842,2.268483871
Plaine de Monceaux,Courcelles - Pierre Demours,Plaine de Monceaux,48.88376973,2.298584663
Sorbonne,Square René Viviani - Montebello,Sorbonne,48.85190489,2.347842157
Saint-Vincent-de-Paul,Gare du Nord - Saint-Vincent de Paul,Saint-Vincent-de-Paul,48.88095574,2.352430515
Europe,Batignolles - Rome,Europe,48.88182337,2.32025899
Bonne-Nouvelle,Greneta - Sebastopol,Bonne-Nouvelle,48.86524233,2.351666987
Mail,Bachaumont - Montmartre,Mail,48.86617395,2.344977558
Croulebarbe,Auguste Blanqui - Glacière,Croulebarbe,48.8311516,2.343822196
Porte-Saint-Denis,Metz - Faubourg Saint-Denis,Porte-Saint-Denis,48.870893,2.353521
Auteuil,Raffet - Montmorency,Auteuil,48.85258671,2.262925246
Saint-Georges,Londres - Place d'Estienne d'Orves,Saint-Georges,48.87669381,2.330536209
Saint-Vincent-de-Paul,Marché Saint-Quentin,Saint-Vincent-de-Paul,48.87735606,2.354511446
Odéon,Marché Saint-Germain,Odéon,48.85165626,2.335500307
Saint-Ambroise,Richard Lenoir - Voltaire,Saint-Ambroise,48.86164274,2.37274915
Charonne,Benoît Frachon - République,Charonne,48.85230729,2.415605485
Auteuil,Porte Molitor,Auteuil,48.84524764,2.256901525
Bel-Air,Place de la Nation - Picpus,Bel-Air,48.84682168,2.400113046
Saint-Georges,Parme - Clichy,Saint-Georges,48.88126642,2.328197093
Faubourg-du-Roule,Arsène Houssaye - Champs-Elysées,Faubourg-du-Roule,48.87340928,2.29779046
Palais-Royal,Rivoli - Musée du Louvre,Palais-Royal,48.86364637,2.334095836
