date,count
2020-01-14 11,60.9625
2020-01-14 12,76.3125
2020-01-14 13,76.5875
2020-01-14 14,75.775
2020-01-14 15,74.15
2020-01-14 16,83.425
2020-01-14 17,96.2125
2020-01-14 18,102.425
2020-01-14 19,98.075
2020-01-14 20,84.8125
2020-01-14 21,62.95
2020-01-14 22,55.225
2020-01-14 23,44.8375
2020-01-15 00,30.625
2020-01-15 01,10.575
2020-01-15 02,9.7625
2020-01-15 03,5.875
2020-01-15 04,3.125
2020-01-15 05,6.725
2020-01-15 06,18.1625
2020-01-15 07,59.2375
2020-01-15 08,95.425
2020-01-15 09,87.2125
2020-01-15 10,64.3875
2020-01-15 11,60.45
2020-01-15 12,77.875
2020-01-15 13,78.4375
2020-01-15 14,76.1375
2020-01-15 15,70.2125
2020-01-15 16,75.5625
2020-01-15 17,83.8125
2020-01-15 18,91.05
2020-01-15 19,95.4375
2020-01-15 20,84.75
2020-01-15 21,63.925
2020-01-15 22,55.975
2020-01-15 23,50.3625
2020-01-16 00,33.0125
2020-01-16 01,15.3125
2020-01-16 02,9.6625
2020-01-16 03,7.7625
2020-01-16 04,6.4625
2020-01-16 05,6.975
2020-01-16 06,17.4625
2020-01-16 07,55.7375
2020-01-16 08,96.725
2020-01-16 09,87.8
2020-01-16 10,64.5
2020-01-16 11,56.4
2020-01-16 12,72.5875
2020-01-16 13,79.3875
2020-01-16 14,73.9875
2020-01-16 15,71.5625
2020-01-16 16,82.0625
2020-01-16 17,93.925
2020-01-16 18,105.7375
2020-01-16 19,101.025
2020-01-16 20,91.375
2020-01-16 21,68.2
2020-01-16 22,61.1875
2020-01-16 23,55.675
2020-01-17 00,38.65
2020-01-17 01,19.7625
2020-01-17 02,14.6
2020-01-17 03,6.95
2020-01-17 04,4.2875
2020-01-17 05,5.9375
2020-01-17 06,13.7
2020-01-17 07,46.4625
2020-01-17 08,86.2875
2020-01-17 09,83.9625
2020-01-17 10,58.3375
2020-01-17 11,55.225
2020-01-17 12,72.425
2020-01-17 13,73.3125
2020-01-17 14,73.1375
2020-01-17 15,70.8125
2020-01-17 16,77.025
2020-01-17 17,90.9625
2020-01-17 18,23.5375
2020-01-17 19,74
2020-01-17 20,83.125
2020-01-17 21,65.4875
2020-01-17 22,58.55
2020-01-17 23,52.8125
2020-01-18 00,50.5875
2020-01-18 01,39.5625
2020-01-18 02,31.3875
2020-01-18 03,18.525
2020-01-18 04,14.0375
2020-01-18 05,12.325
2020-01-18 06,10.625
2020-01-18 07,19.0375
2020-01-18 08,35.525
2020-01-18 09,47.875
2020-01-18 10,60.4
2020-01-18 11,66.4875
2020-01-18 12,76.7375
2020-01-18 13,77.3875
2020-01-18 14,74.225
2020-01-18 15,79.925
2020-01-18 16,81.9875
2020-01-18 17,85.2
2020-01-18 18,84.9125
2020-01-18 19,84.9
2020-01-18 20,79.8375
2020-01-18 21,64
2020-01-18 22,51.8375
2020-01-18 23,53.1625
2020-01-19 00,55.2625
2020-01-19 01,48.8125
2020-01-19 02,38.2875
2020-01-19 03,23.1875
2020-01-19 04,17.2875
2020-01-19 05,13.5625
2020-01-19 06,9.4125
2020-01-19 07,10.4125
2020-01-19 08,17.3625
2020-01-19 09,31.925
2020-01-19 10,47.3125
2020-01-19 11,56.6875
2020-01-19 12,65.8375
2020-01-19 13,64.95
2020-01-19 14,62.25
2020-01-19 15,65.4375
2020-01-19 16,68.575
2020-01-19 17,71.2625
2020-01-19 18,72.5875
2020-01-19 19,66.9375
2020-01-19 20,55.2375
2020-01-19 21,42.0875
2020-01-19 22,36.3125
2020-01-19 23,29.45
2020-01-20 00,17.2375
2020-01-20 01,7.9125
2020-01-20 02,7.8
2020-01-20 03,5.15
2020-01-20 04,6.3875
2020-01-20 05,7.225
2020-01-20 06,14
2020-01-20 07,45.425
2020-01-20 08,90.9625
2020-01-20 09,85.125
2020-01-20 10,51.7125
2020-01-20 11,47.525
2020-01-20 12,57.5125
2020-01-20 13,62.2875
2020-01-20 14,57.8375
2020-01-20 15,51.2375
2020-01-20 16,62.75
2020-01-20 17,79.8
2020-01-20 18,100.9625
2020-01-20 19,93.3375
2020-01-20 20,69.875
2020-01-20 21,46.275
2020-01-20 22,40.7375
2020-01-20 23,32.6
2020-01-21 00,19.05
2020-01-21 01,8.1625
2020-01-21 02,7.6375
2020-01-21 03,3.45
2020-01-21 04,2.4875
2020-01-21 05,6.0375
2020-01-21 06,13.55
2020-01-21 07,48.225
2020-01-21 08,95.1
2020-01-21 09,88.45
2020-01-21 10,52.65
2020-01-21 11,43.8
2020-01-21 12,60.025
2020-01-21 13,63.85
2020-01-21 14,57.4375
2020-01-21 15,55.3875
2020-01-21 16,63.05
2020-01-21 17,78.1
2020-01-21 18,98.45
2020-01-21 19,94.5625
2020-01-21 20,73.7
2020-01-21 21,48.1375
2020-01-21 22,44.6
2020-01-21 23,38.9625
2020-01-22 00,22.525
2020-01-22 01,9.6375
2020-01-22 02,7.45
2020-01-22 03,6.625
2020-01-22 04,3.8375
2020-01-22 05,5.15
2020-01-22 06,11.625
2020-01-22 07,45.375
2020-01-22 08,94.4
2020-01-22 09,85.9625
2020-01-22 10,52.825
2020-01-22 11,46.7875
2020-01-22 12,63.5375
2020-01-22 13,66.475
2020-01-22 14,60.2125
2020-01-22 15,54.25
2020-01-22 16,60.4625
2020-01-22 17,74.275
2020-01-22 18,94.85
2020-01-22 19,93.375
2020-01-22 20,70.1
2020-01-22 21,45.1
2020-01-22 22,41.6625
2020-01-22 23,36.7625
2020-01-23 00,23.7
2020-01-23 01,12.3625
2020-01-23 02,8.0125
2020-01-23 03,5.05
2020-01-23 04,3.6
2020-01-23 05,5.8375
2020-01-23 06,14.075
2020-01-23 07,44.975
2020-01-23 08,93.1
2020-01-23 09,87.975
2020-01-23 10,52.625
2020-01-23 11,45.2125
2020-01-23 12,57.0125
2020-01-23 13,62.6625
2020-01-23 14,56.5
2020-01-23 15,52.05
2020-01-23 16,59.4625
2020-01-23 17,77.7125
2020-01-23 18,94.925
2020-01-23 19,92.575
2020-01-23 20,71.625
2020-01-23 21,48.1125
2020-01-23 22,45.1125
2020-01-23 23,39.325
2020-01-24 00,28.675
2020-01-24 01,16.4375
2020-01-24 02,11.525
2020-01-24 03,5.925
2020-01-24 04,3.675
2020-01-24 05,7.125
2020-01-24 06,15.7
2020-01-24 07,50.2375
2020-01-24 08,95.0375
2020-01-24 09,88.95
2020-01-24 10,58.6375
2020-01-24 11,55.5375
2020-01-24 12,71.6125
2020-01-24 13,73.8375
2020-01-24 14,72.325
2020-01-24 15,72.625
2020-01-24 16,78.6
2020-01-24 17,90.3875
2020-01-24 18,100.3875
2020-01-24 19,94.0875
2020-01-24 20,83.5875
2020-01-24 21,58.6125
2020-01-24 22,50.325
2020-01-24 23,47.7875
2020-01-25 00,40.8
2020-01-25 01,34.1125
2020-01-25 02,25.8375
2020-01-25 03,16.3375
2020-01-25 04,12.825
2020-01-25 05,10.6375
2020-01-25 06,8.8125
2020-01-25 07,13.5875
2020-01-25 08,30.6125
2020-01-25 09,40.275
2020-01-25 10,53.1875
2020-01-25 11,60.0375
2020-01-25 12,69.4125
2020-01-25 13,68.075
2020-01-25 14,70.3125
2020-01-25 15,72.4125
2020-01-25 16,74.375
2020-01-25 17,78.7375
2020-01-25 18,77.275
2020-01-25 19,71.975
2020-01-25 20,65.5
2020-01-25 21,49.8375
2020-01-25 22,38.8875
2020-01-25 23,40.275
2020-01-26 00,42.2375
2020-01-26 01,38.8375
2020-01-26 02,34.9625
2020-01-26 03,24.025
2020-01-26 04,16.2875
2020-01-26 05,10.2875
2020-01-26 06,7.75
2020-01-26 07,7.775
2020-01-26 08,14.2375
2020-01-26 09,26.475
2020-01-26 10,38.9125
2020-01-26 11,49.625
2020-01-26 12,61.825
2020-01-26 13,55.1875
2020-01-26 14,56.2625
2020-01-26 15,62.65
2020-01-26 16,65.875
2020-01-26 17,69.375
2020-01-26 18,66.4625
2020-01-26 19,61.8875
2020-01-26 20,49.875
2020-01-26 21,38.675
2020-01-26 22,32.7375
2020-01-26 23,25.2875
2020-01-27 00,11.125
2020-01-27 01,5.4625
2020-01-27 02,6.75
2020-01-27 03,5.55
2020-01-27 04,5.1125
2020-01-27 05,5.4875
2020-01-27 06,12.0375
2020-01-27 07,30.1125
2020-01-27 08,74.15
2020-01-27 09,82.6375
2020-01-27 10,47.65
2020-01-27 11,39.8375
2020-01-27 12,54.6125
2020-01-27 13,56.9375
2020-01-27 14,40.5375
2020-01-27 15,40.0875
2020-01-27 16,37.1625
2020-01-27 17,63.325
2020-01-27 18,77
2020-01-27 19,78.4
2020-01-27 20,65.525
2020-01-27 21,46.1875
2020-01-27 22,37.75
2020-01-27 23,29.3875
2020-01-28 00,18.325
2020-01-28 01,7.85
2020-01-28 02,8.25
2020-01-28 03,4.6625
2020-01-28 04,2.1875
2020-01-28 05,5.0375
2020-01-28 06,12.5625
2020-01-28 07,48.175
2020-01-28 08,88.5875
2020-01-28 09,84.9125
2020-01-28 10,53.1
2020-01-28 11,44.6375
2020-01-28 12,62.775
2020-01-28 13,63.2
2020-01-28 14,56.4625
2020-01-28 15,54.5125
2020-01-28 16,62.3625
2020-01-28 17,80.225
2020-01-28 18,78.475
2020-01-28 19,71.0375
2020-01-28 20,61.6375
2020-01-28 21,46.2625
2020-01-28 22,40.3
2020-01-28 23,35.4375
2020-01-29 00,22.525
2020-01-29 01,11.225
2020-01-29 02,6.8875
2020-01-29 03,4.9625
2020-01-29 04,2.9
2020-01-29 05,6.1875
2020-01-29 06,12.025
2020-01-29 07,46.8875
2020-01-29 08,100.6125
2020-01-29 09,94.225
2020-01-29 10,55.1875
2020-01-29 11,49.9375
2020-01-29 12,64.5125
2020-01-29 13,70.95
2020-01-29 14,64.3125
2020-01-29 15,61.3125
2020-01-29 16,65.0625
2020-01-29 17,82.475
2020-01-29 18,106.0375
2020-01-29 19,103.2625
2020-01-29 20,79.4
2020-01-29 21,53.8875
2020-01-29 22,50.0625
2020-01-29 23,44.6125
2020-01-30 00,30.1625
2020-01-30 01,15.175
2020-01-30 02,9.225
2020-01-30 03,6.65
2020-01-30 04,5.3875
2020-01-30 05,5.875
2020-01-30 06,13.1375
